Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15343569,2,"Thursday, May 16, 2013 08:49:30 UTC",33.2562,-115.5243,1.3,1.00,12,"Southern California"
us,b000gwvx,5,"Thursday, May 16, 2013 08:03:51 UTC",38.7469,144.3949,4.5,35.00,40,"off the east coast of Honshu, Japan"
ak,10717982,1,"Thursday, May 16, 2013 07:55:21 UTC",59.9753,-141.6623,1.5,19.20, 8,"Southeastern Alaska"
ci,15343545,2,"Thursday, May 16, 2013 07:53:37 UTC",33.2807,-116.7775,1.1,14.40,34,"Southern California"
us,b000gwvq,5,"Thursday, May 16, 2013 07:39:51 UTC",37.1110,141.2358,4.5,35.00,22,"near the east coast of Honshu, Japan"
nc,71992306,0,"Thursday, May 16, 2013 07:31:28 UTC",36.5358,-121.1205,1.7,3.30,14,"Central California"
us,b000gwv7,6,"Thursday, May 16, 2013 07:12:21 UTC",35.3654,141.4560,4.4,35.10,16,"near the east coast of Honshu, Japan"
ci,15343529,2,"Thursday, May 16, 2013 06:58:17 UTC",33.2655,-115.5425,1.4,7.80,14,"Southern California"
nc,71992296,1,"Thursday, May 16, 2013 06:55:57 UTC",39.3032,-120.1395,2.0,8.60,20,"Northern California"
ci,15343521,2,"Thursday, May 16, 2013 06:52:51 UTC",33.2577,-115.5258,1.4,4.40,13,"Southern California"
nc,71992291,1,"Thursday, May 16, 2013 06:49:54 UTC",39.3028,-120.1400,1.8,8.40,19,"Northern California"
ci,15343505,2,"Thursday, May 16, 2013 06:16:56 UTC",33.4738,-116.4198,1.2,13.30,14,"Southern California"
us,b000gwuh,4,"Thursday, May 16, 2013 06:13:51 UTC",-8.7853,117.5477,4.3,155.00,28,"Sumbawa region, Indonesia"
us,b000gwu2,4,"Thursday, May 16, 2013 05:57:03 UTC",-57.5775,-6.9306,5.7,12.80,25,"southern Mid-Atlantic Ridge"
us,b000gwtx,3,"Thursday, May 16, 2013 05:42:51 UTC",-53.0042,22.4128,5.0,16.50,26,"south of Africa"
nc,71992281,0,"Thursday, May 16, 2013 05:37:14 UTC",38.8283,-122.8055,1.0,2.90,18,"Northern California"
us,b000gwtm,6,"Thursday, May 16, 2013 05:23:52 UTC",42.7785,-111.1357,4.0,5.00,39,"southern Idaho"
us,b000gwtq,4,"Thursday, May 16, 2013 05:19:40 UTC",-52.8809,10.3647,5.0,10.00,30,"southwest of Africa"
us,b000gwtn,5,"Thursday, May 16, 2013 05:18:09 UTC",26.8381,144.1369,4.7,17.70,42,"Bonin Islands, Japan region"
hv,60500081,1,"Thursday, May 16, 2013 05:05:27 UTC",19.3177,-155.1892,1.7,5.10,20,"Island of Hawaii, Hawaii"
nc,71992271,0,"Thursday, May 16, 2013 04:36:47 UTC",36.5763,-121.1748,1.4,5.90,11,"Central California"
ci,15343473,2,"Thursday, May 16, 2013 04:15:50 UTC",33.8755,-115.8110,1.4,8.60,15,"Southern California"
nc,71992246,0,"Thursday, May 16, 2013 03:41:12 UTC",37.4010,-118.5857,1.5,12.20,17,"Central California"
ak,10717951,1,"Thursday, May 16, 2013 03:35:17 UTC",62.3235,-150.8733,1.4,63.70,12,"Central Alaska"
us,b000gwt6,3,"Thursday, May 16, 2013 03:18:24 UTC",-53.0584,22.1765,5.3,15.80,25,"south of Africa"
nn,00411970,1,"Thursday, May 16, 2013 03:16:44 UTC",38.0390,-118.0608,1.8,12.10,30,"Nevada"
ak,10717946,1,"Thursday, May 16, 2013 03:15:19 UTC",62.1104,-145.1797,1.3,29.10, 5,"Central Alaska"
ci,15343433,2,"Thursday, May 16, 2013 03:13:22 UTC",32.7487,-117.3875,1.6,17.10,22,"Channel Islands region, California"
us,b000gwsz,7,"Thursday, May 16, 2013 03:02:07 UTC",37.0496,28.4219,4.9,41.60,85,"western Turkey"
ak,10717939,1,"Thursday, May 16, 2013 02:49:35 UTC",62.7445,-151.7564,1.5,5.70, 6,"Central Alaska"
nc,71992236,0,"Thursday, May 16, 2013 02:48:45 UTC",37.9513,-122.0138,1.6,8.60,14,"San Francisco Bay area, California"
ci,15343409,2,"Thursday, May 16, 2013 02:45:18 UTC",33.0308,-116.4297,1.3,10.20,29,"Southern California"
ci,15343401,2,"Thursday, May 16, 2013 02:34:44 UTC",33.1492,-116.5615,1.2,15.70,24,"Southern California"
ci,15343393,2,"Thursday, May 16, 2013 02:34:27 UTC",33.1423,-116.5547,1.2,18.00,25,"Southern California"
nc,71992226,0,"Thursday, May 16, 2013 02:24:21 UTC",37.5475,-119.0062,1.8,0.50,22,"Central California"
us,b000gwsy,3,"Thursday, May 16, 2013 02:21:30 UTC",8.6164,141.5216,4.6,41.10,26,"State of Yap, Federated States of Micronesia"
nc,71992206,0,"Thursday, May 16, 2013 02:20:26 UTC",35.4943,-120.7650,1.6,4.10,16,"Central California"
ci,15343353,2,"Thursday, May 16, 2013 01:57:07 UTC",34.3643,-116.4372,1.4,1.00,21,"Southern California"
ci,15343345,2,"Thursday, May 16, 2013 01:50:44 UTC",34.0577,-117.1742,1.0,8.10,20,"Greater Los Angeles area, California"
nc,71992201,0,"Thursday, May 16, 2013 01:42:53 UTC",36.5588,-121.0880,1.6,9.80,16,"Central California"
ci,15343329,2,"Thursday, May 16, 2013 01:40:28 UTC",34.0550,-117.1717,1.5,7.10,41,"Greater Los Angeles area, California"
ci,15343321,2,"Thursday, May 16, 2013 01:36:29 UTC",34.0472,-117.1690,1.7,2.40,38,"Greater Los Angeles area, California"
ci,15343313,2,"Thursday, May 16, 2013 01:36:19 UTC",34.0523,-117.1708,1.7,7.70,66,"Greater Los Angeles area, California"
nn,00411966,1,"Thursday, May 16, 2013 01:31:04 UTC",37.0465,-117.9910,1.2,4.10, 9,"Central California"
nc,71992191,1,"Thursday, May 16, 2013 01:30:39 UTC",37.6032,-122.4582,2.2,7.90,48,"San Francisco Bay area, California"
ci,15343305,2,"Thursday, May 16, 2013 01:28:56 UTC",33.4698,-116.1917,1.1,5.60,16,"Southern California"
ci,15343297,2,"Thursday, May 16, 2013 01:15:33 UTC",33.3767,-116.8355,1.0,7.00,28,"Southern California"
us,b000gwse,6,"Thursday, May 16, 2013 01:11:28 UTC",0.0414,100.3933,4.7,157.20,62,"northern Sumatra, Indonesia"
ak,10717901,1,"Thursday, May 16, 2013 01:01:19 UTC",64.9620,-150.7750,2.3,5.40,17,"Central Alaska"
ci,15343289,2,"Thursday, May 16, 2013 00:43:29 UTC",33.3782,-116.8377,1.0,9.60,32,"Southern California"
nn,00411964,1,"Thursday, May 16, 2013 00:37:23 UTC",37.9475,-116.9223,1.2,7.00, 7,"Nevada"
ci,15343273,2,"Thursday, May 16, 2013 00:33:59 UTC",33.3758,-116.8297,1.1,7.10,31,"Southern California"
ci,15343265,2,"Thursday, May 16, 2013 00:30:33 UTC",33.3712,-116.8412,2.9,6.90,86,"Southern California"
ci,15343257,2,"Thursday, May 16, 2013 00:20:09 UTC",33.3738,-116.8367,1.9,6.80,55,"Southern California"
us,b000gwrr,B,"Wednesday, May 15, 2013 23:46:30 UTC",40.3990,141.8210,4.9,25.90,83,"near the east coast of Honshu, Japan"
ak,10717708,1,"Wednesday, May 15, 2013 23:38:50 UTC",64.4881,-148.0470,2.1,11.50,13,"Central Alaska"
